,Case Number,Date,Year,Country,Area,Location,Sex ,Age,Activity,Time_int,Time_cat,Fatal,Species
0,2018.06.25,2018-06-25,2018.0,USA,California,"Oceanside, San Diego County",F,57,sailing,18,,N,White Shark
1,2018.06.18,2018-06-18,2018.0,USA,Georgia,"St. Simon Island, Glynn County",F,11,surfing,14,,N,Uncomfirmed Species
2,2018.06.09,2018-06-09,2018.0,USA,Hawaii,"Habush, Oahu",M,48,surfing,07,,N,Uncomfirmed Species
3,2018.06.08,2018-06-08,2018.0,AUSTRALIA,New South Wales,Arrawarra Headland,M,,surfing,,,N,Uncomfirmed Species
4,2018.06.04,2018-06-04,2018.0,MEXICO,Colima,La Ticla,M,,swimming,,,N,Tiger Shark
5,2018.06.03.b,2018-06-03,2018.0,AUSTRALIA,New South Wales,"Flat Rock, Ballina",M,,surfing,,,N,Uncomfirmed Species
6,2018.06.03.a,2018-06-03,2018.0,BRAZIL,Pernambuco,"Piedade Beach, Recife",M,18,swimming,,afternoon,Y,Tiger Shark
7,2018.05.27,2018-05-27,2018.0,USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",M,52,fishing,,,N,Uncomfirmed Species
8,2018.05.26.b,2018-05-26,2018.0,USA,Florida,"Cocoa Beach, Brevard  County",M,15,swimming,17,,N,Bull Shark
9,2018.05.26.a,2018-05-26,2018.0,USA,Florida,"Daytona Beach, Volusia County",M,12,surfing,14,,N,Uncomfirmed Species
10,2018.05.24,2018-05-24,2018.0,AUSTRALIA,Queensland,Cairns Aquarium,M,32,swimming,,morning,N,Uncomfirmed Species
11,2018.05.21,2018-05-21,2018.0,USA,South Carolina,"Isle of Palms,  Charleston County",M,10,surfing,,,N,Uncomfirmed Species
12,2018.05.13.b,2018-05-13,2018.0,USA,South Carolina,"Hilton Head Island, Beaufort County",M,10,swimming,15,,N,Uncomfirmed Species
13,2018.05.13.a,2018-05-13,2018.0,ENGLAND,Cornwall,Off Land's End,M,21,fishing,08,,N,No shark involved
14,2018.05.00,,2018.0,AUSTRALIA,Westerm Australia,Dugong Bay,F,34,swimming,,,N,Uncomfirmed Species
15,2018.05.12,2018-05-12,2018.0,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",M,,surfing,11,,N,Uncomfirmed Species
16,2018.05.09,2018-05-09,2018.0,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",M,,surfing,10,,N,Uncomfirmed Species
17,2018.04.30.R,2018-04-30,2018.0,THAILAND,Hua Hin,Sai Noi Beach,M,,swimming,,,N,Uncomfirmed Species
18,2018.04.28.b,2018-04-28,2018.0,COSTA RICA,Cocos Island,Manuelita,M,30,swimming,10,,N,Tiger Shark
19,2018.04.28.a,2018-04-28,2018.0,AUSTRALIA,Western Australia,Gearys Beach,M,,surfing,16,,N,Uncomfirmed Species
20,2018.04.25.b,2018-04-25,2018.0,AUSTRALIA,New South Wales,Lennox Head,M,,surfing,07,,N,No shark involved
21,2018.04.25.a,2018-04-25,2018.0,AUSTRALIA,Western Australia,"Surfers Point, Prevelly",M,60,surfing,09,,N,Uncomfirmed Species
22,2018.04.24,2018-04-24,2018.0,AUSTRALIA,Western Australia,"South Point, Gracetown",M,,surfing,,afternoon,N,White Shark
23,2018.04.23,2018-04-23,2018.0,MALDIVES,Alifu Alifu Atoll,Madoogali,M,32,fishing,21,,N,Tiger Shark
24,2018.04.22,2018-04-22,2018.0,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",M,33,swimming,09,,N,White Shark
25,2018.04.19,2018-04-19,2018.0,USA,Hawaii,"Shipwrecks Beach, Keoneloa Bay, Kauai",M,29,surfing,,,N,Uncomfirmed Species
26,2018.04.15.d,2018-04-15,2018.0,THAILAND,Hua Hin,Sai Noi Beach,M,54,swimming,,,N,Bull Shark
27,2018.04.15.c,2018-04-15,2018.0,BRAZIL,Pernambuco,Piedade,M,34,swimming,,,,Uncomfirmed Species
28,2018.04.15.b,2018-04-15,2018.0,AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",M,41,surfing,,,N,Uncomfirmed Species
29,2018.04.15.a,2018-04-15,2018.0,AUSTRALIA,Western Australia,"Cobblestones, Margaret River Area",M,37,surfing,08,,N,Uncomfirmed Species
30,2018.04.14,2018-04-14,2018.0,BAHAMAS,New Providence,Nirvana Beach,M,,surfing,09,,N,Tiger Shark
31,2018.04.10.R,2018-04-10,2018.0,BRAZIL,Alagoas,"Praia de Sauaçuhy, Maceió",M,56,fishing,,,N,Uncomfirmed Species
32,2018.04.09,2018-04-09,2018.0,NEW CALEDONIA,,"Magenta Beach, Noumea",,,surfing,17,,N,Uncomfirmed Species
33,2018.04.05,2018-04-05,2018.0,BAHAMAS,,Bimini,M,12,swimming,18,,N,Bull Shark
34,2018.04.03,2018-04-03,2018.0,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,M,19,surfing,15,,N,White Shark
35,2018.03.31,2018-03-31,2018.0,USA,Hawaii,Kukio Beach,M,25,surfing,09,,N,Tiger Shark
36,2018.03.14,2018-03-14,2018.0,AUSTRALIA,Western Australia,Waterman's Bay,M,10,swimming,17,,N,Wobbegong Shark
37,2018.03.09.b,2018-03-09,2018.0,AUSTRALIA,Victoria,Lorne,M,69,swimming,15,,N,Uncomfirmed Species
38,2018.03.09.a,2018-03-09,2018.0,AUSTRALIA,Victoria,Winkipop,M,18,surfing,07,,N,Uncomfirmed Species
39,2018.02.24,2018-02-24,2018.0,SOUTH AFRICA,KwaZulu-Natal,Durban,M,38,swimming,,,N,Uncomfirmed Species
40,2018.02.23,2018-02-23,2018.0,AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse ",F,55,swimming,19,night,N,White Shark
41,2018.02.17,2018-02-17,2018.0,AUSTRALIA,Victoria,Westernport Bay,M,34,swimming,,night,N,Uncomfirmed Species
42,2018.02.15,2018-02-15,2018.0,AUSTRALIA,New South Wales,"Surf Beach, Kiama",M,35,swimming,16,,N,Bull Shark
43,2018.02.14,2018-02-14,2018.0,AUSTRALIA,Queensland,Mooloolaba Beach,F,,swimming,18,,N,Wobbegong Shark
44,2018.02.11,2018-02-11,2018.0,BRAZIL,"Boi Island, Victoria",Espirito Santo,F,46,fishing,,,N,Uncomfirmed Species
45,2018.02.03,2018-02-03,2018.0,ECUADOR,Galapagos Islands,Santa Fe Island,M,45,swimming,,,N,Uncomfirmed Species
46,2018.02.01,2018-02-01,2018.0,AUSTRALIA,Western Australia,"Avalon Point, Manurah",M,14,fishing,,,N,Uncomfirmed Species
47,2018.01.28,2018-01-28,2018.0,AUSTRALIA,Western Australia,Cone Bay,M,18,others,08,,N,Bull Shark
48,2018.01.21,2018-01-21,2018.0,NEW CALEDONIA,,Nouville,M,40,fishing,15,,N,Bull Shark
49,2018.01.14,2018-01-14,2018.0,AUSTRALIA,Queensland,Lizard Island,M,,swimming,15,,N,Uncomfirmed Species
50,2018.01.13,2018-01-13,2018.0,AUSTRALIA,New South Wales,Martin Islet,M,28,swimming,,,N,White Shark
51,2018.01.12,2018-01-12,2018.0,BRAZIL,Fernando de Noronha,Conceicao Beach,M,20,surfing,,afternoon,N,Uncomfirmed Species
52,2018.01.05,2018-01-05,2018.0,AUSTRALIA,Western Australia,"South Point, Gracetown",M,,surfing,,,N,Wobbegong Shark
53,2017.12.31,2017-12-31,2017.0,USA,Hawaii,"Hultin's Beach, Oahu",F,54,surfing,18,,N,Tiger Shark
54,2017.12.30,2017-12-30,2017.0,USA,California,"Drakes Estero, Point Reyes, Marin County",F,35,surfing,12,,N,Uncomfirmed Species
55,2017.12.21,2017-12-21,2017.0,MALAYSIA,Sepang,Bagan Lalang Beach,M,24,swimming,,,N,Uncomfirmed Species
56,2017.12.09,2017-12-09,2017.0,BAHAMAS,,,F,25,swimming,,,N,Uncomfirmed Species
57,2017.11.30.b,2017-11-30,2017.0,COSTA RICA,Cocos Island,Manuelita,M,26,swimming,,,N,Tiger Shark
58,2017.11.30.a,2017-11-30,2017.0,COSTA RICA,Cocos Island,Manuelita,F,49,swimming,,,Y,Tiger Shark
59,2017.11.25.R,2017-11-25,2017.0,LIBYA,, Gars Garabulli,,,sailing,,,Y,Uncomfirmed Species
60,2017.11.24,2017-11-24,2017.0,USA,California,"Stillwater Cove, Monterey County",M,25,fishing,13,,N,White Shark
61,2017.11.18,2017-11-18,2017.0,USA,Florida,"Floridana Beach, Brevard County",F,14,surfing,,afternoon,N,Uncomfirmed Species
62,2017.11.13.R,2017-11-13,2017.0,,,,M,24,surfing,,,N,Uncomfirmed Species
63,2017.11.13,2017-11-13,2017.0,AUSTRALIA,New South Wales,Avoca Beach,M,25,surfing,16,,N,Uncomfirmed Species
64,2017.11.04,2017-11-04,2017.0,CUBA,Holquin Province,Guardalavaca Beach,M,22,swimming,23,,Y,Tiger Shark
65,2017.10.31.R,2017-10-31,2017.0,AUSTRALIA,Queensland,Magnetic Island,M,7,swimming,,,N,Uncomfirmed Species
66,2017.10.28,2017-10-28,2017.0,AUSTRALIA,New South Wales,Birubi Point,M,31,surfing,09,,N,Wobbegong Shark
67,2017.10.26,2017-10-26,2017.0,USA,Hawaii,"White Plains Beach, Oahu",M,,surfing,15,,N,Uncomfirmed Species
68,2017.10.23.c,2017-10-23,2017.0,MAURITIUS,Pamplemousses ,Le Goulet,M,,swimming,,afternoon,N,Uncomfirmed Species
69,2017.10.23.b,2017-10-23,2017.0,USA,Florida,"Juno Beach, Palm Beach County",M,17,surfing,17,,N,Uncomfirmed Species
70,2017.10.23.a,2017-10-23,2017.0,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",F,60,swimming,08,,N,Uncomfirmed Species
71,2017.10.22,2017-10-22,2017.0,AUSTRALIA,South Australia,Normanville,F,15,fishing,,afternoon,N,White Shark
72,2017.10.21,2017-10-21,2017.0,NEW ZEALAND,North Island,"Off Tapuna Beach, Auckand",M,,sailing,09,,N,Uncomfirmed Species
73,2017.10.18,2017-10-18,2017.0,USA,Florida,"Lantana Beach, Palm Beach County",M,,swimming,14,,N,Uncomfirmed Species
74,2017.10.09,2017-10-09,2017.0,USA,Hawaii,"Davidsons Beach, Kekaha, Kauai",M,54,surfing,18,,N,Tiger Shark
75,2017.10.05,2017-10-05,2017.0,USA,Hawaii,"Kamaole Beach Park, Maui ",F,40,swimming,12,,N,Uncomfirmed Species
76,2017.10.01,2017-10-01,2017.0,SOUTH AFRICA,Western Cape Province,Dyer Island,M,31,swimming,,,,Uncomfirmed Species
77,2017.09.25.b,2017-09-25,2017.0,USA,Florida,"Hanna Park, Jacksonville, Duval County",M,,surfing,,morning,N,Uncomfirmed Species
78,2017.09.25.a,2017-09-25,2017.0,AUSTRALIA,Western Australia,Gracetown,M,,surfing,18,,N,White Shark
79,2017.09.24.b,2017-09-24,2017.0,USA,New York,Rockaway,M,33,surfing,15,,,No shark involved
80,2017.09.24.a,2017-09-24,2017.0,USA,Florida,Fort Worth,M,,surfing,14,,N,Uncomfirmed Species
81,2017.09.20,2017-09-20,2017.0,USA,Florida,Palm Beach County,M,,surfing,,morning,N,Uncomfirmed Species
82,2017.09.16.b,2017-09-16,2017.0,SPAIN,Canary Islands,Gran Canaria ,M,13,surfing,,,N,Uncomfirmed Species
83,2017.09.16.a,2017-09-16,2017.0,USA,Florida,"Ponce Inlet, Volusia County",M,28,surfing,16,,N,Uncomfirmed Species
84,2017.09.15.b,2017-09-15,2017.0,SOUTH AFRICA,Western Cape Province,Hawston,M,25,swimming,,afternoon,,Uncomfirmed Species
85,2017.09.15.a,2017-09-15,2017.0,SAMOA, Upolu Island,Nofoalii,M,,fishing,,night,N,Uncomfirmed Species
86,2017.09.14,2017-09-14,2017.0,AUSTRALIA,Westerm Australia,Esperance,,,fishing,,,N,White Shark
87,2017.09.13,2017-09-13,2017.0,USA,Florida,"Ponce Inlet, Volusia County",M,18,surfing,18,,N,Uncomfirmed Species
88,2017.09.10.b,2017-09-10,2017.0,AUSTRALIA,Westerm Australia,Sam's Creek area,M,,swimming,15,,N,Uncomfirmed Species
89,2017.09.10.a,2017-09-10,2017.0,AUSTRALIA,New South Wales,Iluka Beach,M,35,surfing,06,,N,White Shark
90,2017.09.06.R,2017-09-06,2017.0,SOLOMON ISLANDS,,Owarigi Island,M,,fishing,,,N,Uncomfirmed Species
91,2017.09.03.b,2017-09-03,2017.0,SOUTH AFRICA,Western Cape Province,Dyer Island,M,,swimming,,morning,Y,Uncomfirmed Species
92,2017.09.03.a,2017-09-03,2017.0,JAPAN,Shizuoka Prefecture,Iwata City,M,42,surfing,10,,N,Uncomfirmed Species
93,2017.09.02.c,2017-09-02,2017.0,USA,Florida,"Marathon, Monroe County",M,,swimming,,,N,Uncomfirmed Species
94,2017.09.02.b,2017-09-02,2017.0,USA,Texas,"South Padre Island, Cameron County",F,,swimming,,,N,Uncomfirmed Species
95,2017.09.02.a,2017-09-02,2017.0,USA,Florida,"New Smyrna Beach, Volusia County",M,17,surfing,10,,N,Uncomfirmed Species
96,2017.08.29,2017-08-29,2017.0,AUSTRALIA,Victoria,Cathedral Rock,M,37,surfing,10,,N,White Shark
97,2017.08.27,2017-08-27,2017.0,USA,Florida,Bathtub Beach ,F,3,swimming,13,,N,Uncomfirmed Species
98,2017.08.26.b,2017-08-26,2017.0,SPAIN,Castellón,Grao de Moncofa,F,11,swimming,,morning,,No shark involved
99,2017.08.26.a,2017-08-26,2017.0,NEW ZEALAND,North Island,Off Tutukaka,M,,sailing,,,N,Uncomfirmed Species
100,2017.08.23,2017-08-23,2017.0,USA,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",M,69,others,10,,N,White Shark
101,2017.08.18,2017-08-18,2017.0,BAHAMAS,,,M,,fishing,15,,N,Uncomfirmed Species
102,2017.08.10,2017-08-10,2017.0,USA,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",M,13,swimming,13,,N,Uncomfirmed Species
103,2017.08.05,2017-08-05,2017.0,EGYPT,Red Sea Protectorate,Marsa Ghalib,F,20,swimming,,,N,White Shark
104,2017.08.03,2017-08-03,2017.0,USA,Massachusetts,"Menauhant Beach, Falmouth,
Barnstable County",M,34,fishing,23,,N,Uncomfirmed Species
105,2017.08.01,2017-08-01,2017.0,USA,California,"Between Pescadero Point & Bean Hollow Beach, San Mateo County",M,,fishing,10,,N,White Shark
106,2017.07.31,2017-07-31,2017.0,USA,Florida,"Jacksonvlle, Duval County",M,15,surfing,18,,N,Uncomfirmed Species
107,2017.07.29.c,2017-07-29,2017.0,USA,South Carolina,"Hilton Head Island, Beaufort County",M,10,swimming,15,,,Uncomfirmed Species
108,2017.07.29.a,2017-07-29,2017.0,USA,South Carolina,"DeBordieu Colony, Georgetown County",F,12,others,,afternoon,N,Uncomfirmed Species
109,2017.07.27,2017-07-27,2017.0,BAHAMAS,New Providence District,Rose Island,F,,swimming,,,N,Uncomfirmed Species
110,2017.07.26.R,2017-07-26,2017.0,BAHAMAS,40 miles off Grand Bahama Island,,M,,fishing,,,N,Uncomfirmed Species
111,2017.07.24,2017-07-24,2017.0,"ST HELENA, British overseas territory",Ascension Island,English Bay,M,37,surfing,17,,N,Uncomfirmed Species
112,2017.07.23.b,2017-07-23,2017.0,USA,New Jersey,Ventnor,F,,others,,,N,Tiger Shark
113,2017.07.23.a,2017-07-23,2017.0,SPAIN,Majorca,"Estanys Beach, Colonia de Sant",F,,swimming,,afternoon,N,Uncomfirmed Species
114,2017.07.22,2017-07-22,2017.0,USA,Florida,"Snipes Point, Monroe County",F,40,others,12,,N,Uncomfirmed Species
115,2017.07.20.c,2017-07-20,2017.0,USA,South Carolina,"Hilton Head Island, Beaufort County",F,8,swimming,,,,Uncomfirmed Species
116,2017.07.20.b,2017-07-20,2017.0,USA,California,"Stearns Wharf, Santa Barbara",M,40,sailing,11,,N,White Shark
117,2017.07.20.a,2017-07-20,2017.0,USA,California,"Seal Rock, Goleta Beach, Santa Barbara",M,50,others,07,,N,White Shark
118,2017.07.14.b,2017-07-14,2017.0,USA,Washington,"South Beach, Westport, Grays Harbor County",M,,surfing,18,,N,White Shark
119,2017.07.14.a,2017-07-14,2017.0,AUSTRALIA,Western Australia,Floreat Beach,M,,surfing,11,,N,Uncomfirmed Species
120,2017.07.11,2017-07-11,2017.0,USA,California,"Santa Cruz, Santa Cruz County",M,,sailing,11,,N,White Shark
121,2017.07.09,2017-07-09,2017.0,USA,Florida,"Haulover Beach, Miami-Dade County",M,46,swimming,15,,N,Bull Shark
122,2017.07.07.R,2017-07-07,2017.0,MEXICO,Tabasco,"Sánchez Magallanes, Cárdenas",M,32,fishing,,,N,Tiger Shark
123,2017.07.07,2017-07-07,2017.0,SOUTH AFRICA,Eastern Cape Province,"Nahoon Reef, East London",F,13,surfing,15,,N,White Shark
124,2017.07.02,2017-07-02,2017.0,COMOROS,Anjouan,Moya,,,fishing,,,,Uncomfirmed Species
125,2017.06.29,2017-06-29,2017.0,USA,South Carolina,Wrightsville Beach,M,,fishing,19,,,Uncomfirmed Species
126,2017.06.21,2017-06-21,2017.0,USA,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County",F,16,swimming,,,N,Uncomfirmed Species
127,2017.06.19,2017-06-19,2017.0,USA,Florida,"Singer Island, Palm Beach County",M,,surfing,,morning,N,Uncomfirmed Species
128,2017.06.18.b,2017-06-18,2017.0,USA,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",F,14,swimming,,,N,Bull Shark
129,2017.06.18.a,2017-06-18,2017.0,REUNION,,Roches Noire,M,34,surfing,10,,N,Bull Shark
130,2017.06.17,2017-06-17,2017.0,SPAIN,Ibiza Island,Playa den Bossa,M,82,swimming,12,,N,Uncomfirmed Species
131,2017.06.05,2017-06-05,2017.0,FRENCH POLYNESIA,Marquesas,"Atuona Bay, Hiva Oa Island",M,,surfing,,,N,Uncomfirmed Species
132,2017.06.14.R,2017-06-14,2017.0,BAHAMAS,,,F,,swimming,,,N,Uncomfirmed Species
133,2017.06.11,2017-06-11,2017.0,AUSTRALIA,Western Australia,"Point Casuarina, Bunbury",M,48,surfing,08,,N,White Shark
134,2017.06.10.b,2017-06-10,2017.0,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",F,,surfing,15,,N,Uncomfirmed Species
135,2017.06.10.a,2017-06-10,2017.0,USA,Florida,"Ponce Inlet, Volusia County",M,19,surfing,10,,N,Uncomfirmed Species
136,2017.06.07.R,2017-06-07,2017.0,UNITED KINGDOM,South Devon,Bantham Beach,M,30,surfing,,,N,Uncomfirmed Species
137,2017.06.04,2017-06-04,2017.0,USA,Florida,"Middle Sambo Reef off Boca Chica, Monroe County",M,,fishing,,,N,Uncomfirmed Species
138,2017.06.02,2017-06-02,2017.0,BAHAMAS,New Providence ,Athol Island,F,32,swimming,12,,N,Tiger Shark
139,2017.05.30,2017-05-30,2017.0,USA,South Carolina,"Awendaw, Charleston County",F,20,swimming,,,N,Uncomfirmed Species
140,2017.05.28,2017-05-28,2017.0,USA,Florida,Off Jupiter,M,,swimming,,morning,N,Tiger Shark
141,2017.05.27,2017-05-27,2017.0,AUSTRALIA,New South Wales,Evans Head,M,73,fishing,,,N,Uncomfirmed Species
142,2017.05.12,2017-05-12,2017.0,UNITED ARAB EMIRATES,"Sharjah, ",Khor Fakkan,M,41,fishing,,morning,N,Uncomfirmed Species
143,2017.05.06.R,2017-05-06,2017.0,AUSTRALIA,Queensland,Weipa,M,29,swimming,,,N,Uncomfirmed Species
144,2017.05.06,2017-05-06,2017.0,MEXICO,Baja California Sur,"Los Arbolitos, Cabo Pulmo",M,33,swimming,17,,Y,Uncomfirmed Species
145,2017.05.03,2017-05-03,2017.0,USA,California,"Sunset Beach, Orange County",F,18,surfing,14,,,Uncomfirmed Species
146,2017.04.29.d,2017-04-29,2017.0,USA,California,"San Onofre, San Diego County ",F,,swimming,17,,N,Uncomfirmed Species
147,2017.04.29.c,2017-04-29,2017.0,SOUTH AFRICA,Western Cape Province,"Keurbooms, Plettenberg Bay",M,14,surfing,17,,N,Uncomfirmed Species
148,2017.04.29.b,2017-04-29,2017.0,USA,South Carolina,"Folly Beach, Charleston County",F,33,surfing,11,,N,Uncomfirmed Species
149,2017.04.29.a,2017-04-29,2017.0,REUNION,Saint-Leu,Pointe au Sal,M,28,surfing,11,,Y,Uncomfirmed Species
150,2017.04.27,2017-04-27,2017.0,NEW ZEALAND,South Island,"Porpoise Bay, Catlins",F,20,surfing,14,,N,Uncomfirmed Species
151,2017.04.26,2017-04-26,2017.0,USA,Florida,,F,,others,,,,Uncomfirmed Species
152,2017.04.22,2017-04-22,2017.0,"ST HELENA, British overseas territory",Ascension Island,English Bay,F,40,swimming,16,,N,Uncomfirmed Species
153,2017.04.20,2017-04-20,2017.0,USA,South Carolina,Georgetown County,M,,swimming,08,,,Uncomfirmed Species
154,2017.04.17.b,2017-04-17,2017.0,USA,Florida,"Daytona Beach, Volusia County",,,others,,afternoon,N,Uncomfirmed Species
155,2017.04.17.a,2017-04-17,2017.0,AUSTRALIA,Western Australia,Kelpies near Wylie Bay,F,17,surfing,16,,Y,White Shark
156,2017.04.14,2017-04-14,2017.0,USA,Hawaii,"Kekaha Beach, Kauai",M,28,surfing,09,,N,Tiger Shark
157,2017.04.13,2017-04-13,2017.0,USA,Florida,"Hanna Park, Jacksonville, Duval County",M,17,surfing,13,,N,Uncomfirmed Species
158,2017.04.12.b,2017-04-12,2017.0,USA,Florida,St. Augustine,F,,surfing,13,,N,Uncomfirmed Species
159,2017.04.12.a,2017-04-12,2017.0,SOUTH AFRICA,KwaZulu-Natal,Protea Banks,M,68,swimming,,,,Uncomfirmed Species
160,2017.04.11,2017-04-11,2017.0,USA,Florida,"Ormond Beach, Volusia County",F,35,surfing,16,,N,Uncomfirmed Species
161,2017.04.10.b,2017-04-10,2017.0,USA,Florida,"Melbourne Beach, Brevard County",F,10,surfing,17,,N,Uncomfirmed Species
162,2017.04.10.a,2017-04-10,2017.0,USA,Florida,"Melbourne Beach, Brevard County",F,21,swimming,17,,N,Uncomfirmed Species
163,2017.04.06,2017-04-06,2017.0,USA,Florida,"Daytona, Volusia County",M,16,swimming,,,N,Uncomfirmed Species
164,2017.04.05,2017-04-05,2017.0,USA,Florida,"New Smyrna Beach, Volusia County",F,51,swimming,13,,N,Uncomfirmed Species
165,2017.04.02.b,2017-04-02,2017.0,AUSTRALIA,Queensland,Moreton Bay,M,39,others,,afternoon,N,Uncomfirmed Species
166,2017.04.02.a,2017-04-02,2017.0,USA,Florida,"Destin, Okaloosa County",F,17,swimming,15,,N,Bull Shark
167,2017.03.27,2017-03-27,2017.0,USA,Florida,"New Smyrna Beach, Volusia County",M,58,surfing,10,,N,Uncomfirmed Species
168,2017.03.19,2017-03-19,2017.0,AUSTRALIA,New South Wales,The Farm,M,30,surfing,18,,N,Uncomfirmed Species
169,2017.03.18,2017-03-18,2017.0,USA,California,Monterey Bay,M,,sailing,14,,N,White Shark
170,2017.03.11,2017-03-11,2017.0,PHILIPPINES,Luzon Island,"Villamar, Caoayan",M,25,fishing,,,N,Uncomfirmed Species
171,2017.03.09,2017-03-09,2017.0,BAHAMAS,Great Exuma,,M,58,swimming,,,N,Uncomfirmed Species
172,2017.02.25,2017-02-25,2017.0,AUSTRALIA,Western Australia,Mauds Point,F,,swimming,,morning,N,Bull Shark
173,2017.02.24,2017-02-24,2017.0,AUSTRALIA,Western Australia,"Falcon Bay Beach, Mandurah",M,,surfing,,morning,N,Uncomfirmed Species
174,2017.02.21,2017-02-21,2017.0,REUNION,Saint-Andre,,M,26,surfing,09,,Y,Uncomfirmed Species
175,2017.02.17,2017-02-17,2017.0,AUSTRALIA,Queensland,Eva Rock,M,26,fishing,10,,N,Uncomfirmed Species
176,2017.02.11,2017-02-11,2017.0,USA,Florida,"Melbourne Beach, Brevard County",M,22,swimming,13,,N,Uncomfirmed Species
177,2017.02.06.b,2017-02-06,2017.0,BRAZIL,Pernambuco,Fernando de Noronha Marine Park,F,,swimming,,afternoon,N,Uncomfirmed Species
178,2017.02.06.a,2017-02-06,2017.0,SOUTH AFRICA,KwaZulu-Natal,Eastmoor Crescent Beach,M,,fishing,,,N,Tiger Shark
179,2017.02.01.b,2017-02-01,2017.0,USA,South Carolina,16 miles off Hilton Head,,,swimming,,,N,White Shark
180,2017.02.01.a,2017-02-01,2017.0,BAHAMAS,Bimini,,M,37,swimming,,,N,Uncomfirmed Species
181,2017.01.24,2017-01-24,2017.0,BRAZIL,Pernambuco,"Boa Viagem, Recife",M,21,swimming,13,,N,Uncomfirmed Species
182,2017.01.22,2017-01-22,2017.0,USA,Florida,"Vero Beach, Indian River County",M,,others,14,,N,Uncomfirmed Species
183,2017.01.21,2017-01-21,2017.0,AUSTRALIA,Queensland,"Boot Reef, Torres Strait",M,55,swimming,12,,N,Bull Shark
184,2017.01.13.b,2017-01-13,2017.0,AUSTRALIA,Queensland,Clairview,M,57,swimming,13,,N,Uncomfirmed Species
185,2017.01.13.a,2017-01-13,2017.0,USA,Florida,Jensen Beach,M,,others,,morning,N,Uncomfirmed Species
186,2017.01.09,2017-01-09,2017.0,INDONESIA,Bali,Balian Beach,M,48,surfing,07,,N,Bull Shark
187,2017.01.08.R,2017-01-08,,AUSTRALIA,Queensland,,M,35,fishing,,,,Bull Shark
188,2017.01.05,2017-01-05,2017.0,USA,Florida,"Blockhouse Beach, Brevard County",M,47,swimming,12,,N,Uncomfirmed Species
189,2017.01.03,2017-01-03,2017.0,AUSTRALIA,New South Wales,Merimbula,M,20,swimming,18,,,Uncomfirmed Species
190,2016.12.27,2016-12-27,2016.0,USA,Florida,"Avalon State Park Beach, North Hutchinson Island, St Lucie County",M,16,surfing,17,,N,Uncomfirmed Species
191,2016.12.24,2016-12-24,2016.0,AUSTRALIA,Western Australia,"Bundegi Sanctuary Zone, Ningaloo",F,,swimming,,morning,N,Uncomfirmed Species
192,2016.12.19,2016-12-19,2016.0,SOUTH AFRICA,Western Cape Province,"Keurbooms Lagoon, Plettenberg Bay",M,55,swimming,07,,N,White Shark
193,2016.12.14,2016-12-14,2016.0,AUSTRALIA,Western Australia,Trigg Beach,M,61,swimming,09,,N,Uncomfirmed Species
194,2016.12.11.b,2016-12-11,2016.0,FRENCH POLYNESIA,Tuamotos,Takapoto Atoll,M,40,fishing,,,N,Uncomfirmed Species
195,2016.12.11.a,2016-12-11,2016.0,USA,Florida,"New Smyrna Beach, Volusia County",M,19,surfing,,afternoon,,Uncomfirmed Species
196,2016.12.06,2016-12-06,2016.0,AUSTRALIA,New South Wales,Merimbula,M,20,surfing,02,,N,Wobbegong Shark
197,2016.12.01,2016-12-01,2016.0,AUSTRALIA,New South Wales,Booti Booti National Park,M,65,surfing,09,,N,White Shark
198,2016.11.28,2016-11-28,2016.0,AUSTRALIA,Victoria,Queenscliff,M,73,fishing,11,,N,Uncomfirmed Species
199,2016.11.14,2016-11-14,2016.0,USA,Hawaii,"Kamaole Beach Park I, Maui",F,58,swimming,10,,N,Tiger Shark
200,2016.10.30,2016-10-30,2016.0,USA,Florida,"Mayport Naval Station Beach, Duval County",M,41,surfing,,afternoon,N,Uncomfirmed Species
201,2016.10.29,2016-10-29,2016.0,USA,Florida,Mayport Naval Station  Duval County,M,42,surfing,,afternoon,N,Uncomfirmed Species
202,2016.10.24,2016-10-24,2016.0,AUSTRALIA,New South Wales,Broken Head Beach,M,36,surfing,07,,N,Uncomfirmed Species
203,2016.10.21,2016-10-21,2016.0,USA,Hawaii,"Hooipa Beach Park, Maui",M,36,surfing,17,,N,Uncomfirmed Species
204,2016.10.15,2016-10-15,2016.0,AUSTRALIA,Queensland,"Kings Beach, Caloundra",M,,surfing,18,,N,Uncomfirmed Species
